fever,diarrhea,stomach pain,skin rash,cough,sniffles,short breath,headache,size,label
38.0,0,1,3,1,3,0,3,31.0,"['Allergy', 'External', 'Pollen Allergy']"
38.9,0,1,1,2,3,0,4,42.6,"['Respiratory', 'Flu', '']"
36.6,0,1,4,2,4,1,4,31.6,"['Allergy', 'External', 'Pollen Allergy']"
41.1,1,2,1,4,2,1,7,35.3,"['Respiratory', 'Flu', '']"
36.8,0,1,1,3,3,0,1,25.6,"['Respiratory', 'Cold', '']"
38.3,1,8,2,2,2,0,5,31.3,"['Gastrointestinal', 'Norovirus', '']"
37.5,1,8,1,1,1,0,4,32.1,"['Gastrointestinal', 'Norovirus', '']"
37.7,0,1,3,1,3,0,5,45.0,"['Respiratory', 'Flu', '']"
35.7,1,9,5,1,1,0,7,35.2,"['Allergy', 'Food Allergy', 'Fish Allergy']"
39.9,1,8,1,2,1,0,4,28.6,"['Gastrointestinal', 'Norovirus', '']"
36.6,1,10,5,3,2,0,4,35.7,"['Allergy', 'Food Allergy', 'Milk Allergy']"
40.0,1,8,1,3,3,0,8,39.8,"['Gastrointestinal', 'Norovirus', '']"
36.3,0,1,1,2,3,0,3,25.7,"['Respiratory', 'Cold', '']"
38.8,0,1,1,3,4,0,4,28.2,"['Respiratory', 'Cold', '']"
40.2,0,1,5,3,1,1,2,35.6,"['Allergy', 'External', 'Bee Allergy']"
37.0,0,2,1,5,3,0,4,40.7,"['Respiratory', 'Cold', '']"
42.3,0,3,1,3,3,1,6,45.0,"['Respiratory', 'Flu', '']"
38.6,0,1,4,1,3,0,1,40.0,"['Allergy', 'External', 'Pollen Allergy']"
39.8,0,1,2,1,3,0,3,31.0,"['Allergy', 'External', 'Pollen Allergy']"
38.3,0,2,2,1,2,1,3,32.9,"['Allergy', 'External', 'Pollen Allergy']"
36.2,0,1,5,4,1,1,2,36.5,"['Allergy', 'External', 'Bee Allergy']"
36.4,1,1,2,1,1,0,2,35.5,"['Allergy', 'Food Allergy', 'Milk Allergy']"
37.0,0,1,2,4,2,0,1,29.2,"['Respiratory', 'Cold', '']"
37.0,0,1,1,3,3,0,3,34.1,"['Respiratory', 'Covid', '']"
37.8,0,2,2,3,4,0,3,36.8,"['Respiratory', 'Cold', '']"
38.6,0,2,3,3,4,0,4,31.3,"['Allergy', 'External', 'Pollen Allergy']"
37.8,1,9,2,1,2,0,5,37.2,"['Gastrointestinal', 'Norovirus', '']"
42.6,0,1,1,5,1,1,4,40.2,"['Respiratory', 'Covid', '']"
36.1,1,7,4,1,1,0,1,36.2,"['Allergy', 'Food Allergy', 'Milk Allergy']"
34.3,0,1,1,3,1,0,1,32.3,"['Respiratory', 'Cold', '']"
37.3,0,1,2,2,4,0,1,27.7,"['Respiratory', 'Cold', '']"
